#: table_doi: 10.17182/hepdata.94312.v1/t6
#: name: Figure 19b - Corr. Mtx for $p_{T}^{4l}$
#: description: Correlation matrix between the measured cross sections and the $ZZ^{*}$ background normalization corresponding to the differential fiducial cross section for the transverse momentum $p_{T}^{4l}$ of the Higgs boson.
#: data_file: CorrMatrix_table_pt.yaml
#: keyword reactions: P P --> H --> Z0 Z0 --> LEPTON + LEPTON + LEPTON + LEPTON
#: keyword observables: Results
#: keyword cmenergies: 13000.0
#: keyword phrases: Higgs Boson | Measurement of cross sections | Higgs boson differential cross sections | Higgs to 4leptons

$p_{T}^{4l}$ [],$0-10 \ \mbox{GeV}$
$0-10 \ \mbox{GeV}$, 1
$10-20 \ \mbox{GeV}$, -0.15
$20-30 \ \mbox{GeV}$, 0.023
$30-45 \ \mbox{GeV}$, 0.012
$45-60 \ \mbox{GeV}$, 0.0079
$60-80 \ \mbox{GeV}$, 0.0062
$80-120 \ \mbox{GeV}$, 0.014
$120-200 \ \mbox{GeV}$, 0.01
$200-350 \ \mbox{GeV}$, 0.0062
$350-1000 \ \mbox{GeV}$, 8.5e-06
$ZZ^{*} \ 0-10 \ \mbox{GeV}$,-0.36
$ZZ^{*} \ 10-20 \ \mbox{GeV}$,0.025
$ZZ^{*} \ 20-30 \ \mbox{GeV}$,-0.0018
$ZZ^{*} \ 30-60 \ \mbox{GeV}$,-7.4e-05
$ZZ^{*} \ 60-1000 \ \mbox{GeV}$,-0.00027

$p_{T}^{4l}$ [],$10-20 \ \mbox{GeV}$
$0-10 \ \mbox{GeV}$, -0.15
$10-20 \ \mbox{GeV}$, 1
$20-30 \ \mbox{GeV}$, -0.12
$30-45 \ \mbox{GeV}$, 0.027
$45-60 \ \mbox{GeV}$, 0.0095
$60-80 \ \mbox{GeV}$, 0.0083
$80-120 \ \mbox{GeV}$, 0.016
$120-200 \ \mbox{GeV}$, 0.011
$200-350 \ \mbox{GeV}$, 0.006
$350-1000 \ \mbox{GeV}$, 8.5e-06
$ZZ^{*} \ 0-10 \ \mbox{GeV}$,0.035
$ZZ^{*} \ 10-20 \ \mbox{GeV}$,-0.38
$ZZ^{*} \ 20-30 \ \mbox{GeV}$,0.02
$ZZ^{*} \ 30-60 \ \mbox{GeV}$,-0.00097
$ZZ^{*} \ 60-1000 \ \mbox{GeV}$,-0.00066

$p_{T}^{4l}$ [],$20-30 \ \mbox{GeV}$
$0-10 \ \mbox{GeV}$, 0.023
$10-20 \ \mbox{GeV}$, -0.12
$20-30 \ \mbox{GeV}$, 1
