2.34e1   3.6   3.4   +2.1   +0.1 -0.3  +1.3 -1.3  -0.5 +0.2  -0.4 +0.3  +0.5 -0.5  0.94  2.0  1.00 
1.36e1   5.8   4.5   +3.5   +1.8 -1.9  +0.2 -0.3  -0.2 +0.2  -0.2 +0.4  +0.5 -0.5  0.97  1.4  1.00 
3.57e0   6.7   6.1   +4.0   +4.0 -3.9  +0.2 -0.0  -0.4 +0.2  -0.2 +0.1  +0.5 -0.5  0.96  1.0  1.00 
4.20e-1  16.4  9.6   +7.8   +5.4 -4.9  +0.1 +0.1  -0.6 -0.4  -0.2 -0.1  +0.5 -0.5  0.96  1.2  1.00 
1.81e1   4.1   3.3   +2.0   +0.1 -0.0  +1.4 -1.2  -0.4 +0.6  -0.4 +0.5  +0.5 -0.5  0.94  1.7  1.00 
1.24e1   5.6   3.9   +2.2   +2.0 -2.4  +0.4 -0.4  -0.6 +0.7  -0.3 +0.3  +0.5 -0.5  0.98  1.6  1.00 
2.95e0   7.4   5.8   +4.0   +3.7 -3.4  +0.1 -0.2  -0.1 +0.1  -0.3 +0.2  +0.5 -0.5  0.97  1.0  1.00 
3.82e-1  18.1  13.7  +12.4  +6.2 -4.3  -0.2 -0.1  -0.0 +0.1  -0.4 +0.2  +0.5 -0.5  0.95  1.9  1.00 
1.83e1   3.9   2.8   +1.0   -0.0 -0.0  +1.1 -1.1  -0.5 +0.5  -0.3 +0.2  +0.4 -0.4  0.93  1.2  1.00 
1.13e1   6.1   4.9   +3.7   +2.2 -2.2  +0.3 -0.3  -0.6 +0.5  -0.3 +0.3  +0.4 -0.4  0.98  0.9  1.00 
3.80e0   6.0   4.3   +1.2   +3.3 -3.6  +0.1 -0.1  -0.4 +0.1  -0.1 -0.1  +0.4 -0.4  0.97  0.8  1.00 
3.44e-1  20.5  9.3   -7.0   +4.9 -6.4  +0.0 -0.3  -0.2 -0.6  -0.2 -0.2  +0.4 -0.4  0.96  0.4  1.00 
1.67e1   4.1   2.5   +0.7   +0.1 +0.1  +0.9 -0.8  -0.3 +0.4  -0.2 +0.2  +0.4 -0.4  0.92  1.1  1.00 
1.08e1   6.3   4.7   +3.5   +1.9 -2.2  +0.3 -0.4  -0.5 +0.6  -0.1 +0.1  +0.4 -0.4  0.97  0.9  1.00 
3.65e0   6.2   4.5   +2.2   +3.2 -3.3  +0.1 -0.1  -0.3 +0.4  -0.1 +0.2  +0.3 -0.3  0.98  0.5  1.00 
3.79e-1  20.4  7.1   -3.7   +5.5 -5.8  +0.0 -0.1  -0.3 +0.3  +0.0 -0.1  +0.2 -0.2  0.96  0.3  1.00 
1.49e1   4.4   2.9   +1.0   -0.4 +0.5  +0.6 -0.5  +0.8 -0.6  -0.4 +0.4  +1.2 -1.2  0.92  0.6  1.02 
1.32e1   5.1   3.6   +2.1   +1.5 -1.5  +0.2 -0.1  -0.3 +0.3  -0.5 +0.5  +1.1 -1.1  0.96  0.3  1.02 
4.77e0   5.4   6.1   +5.0   +2.5 -2.6  +0.2 -0.1  -0.2 +0.3  -0.4 +0.3  +1.1 -1.1  0.98  0.4  1.03 
9.57e-1  10.3  5.6   +2.0   +4.7 -4.5  +0.0 +0.2  -0.4 +0.1  -0.1 +0.1  +1.0 -1.0  0.96  0.7  1.01 
7.29e-1  23.0  4.0   -2.2   -0.3 +0.8  +0.1 -0.5  +1.1 -1.4  -0.1 +0.7  +2.1 -2.1  0.89  0.2  1.11 
8.45e-1  20.1  10.2  +9.5   +2.8 -0.6  +0.2 -0.1  -0.1 +2.4  -0.4 +1.8  +1.8 -1.8  0.95  0.5  1.11 
3.49e-1  19.3  6.0   -4.8   +1.4 -2.6  +0.2 -0.4  +0.1 -1.1  -1.2 +0.3  +1.9 -1.9  0.97  0.8  1.11 
1.47e-1  26.9  8.5   -7.5   +3.1 -1.7  -0.0 +0.2  +1.7 -0.4  +1.0 -0.3  +1.8 -1.8  0.98  1.0  1.11
