#: table_doi: 10.17182/hepdata.31170.v1/t7
#: name: Table 7
#: description: Inclusive Jet Cross Section ${\rm\frac{d^2\sigma_{jet}}{dQ^2dP_T}}$.

#: data_file: Table7.yaml
#: keyword reactions: E+ P --> E+ JET(S) X
#: keyword observables: D2SIG/DQ**2/DPT
#: keyword phrases: Inclusive | Double Differential Cross Section | Transverse Momentum Dependence | Jet Production | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: ETARAP(JET,LAB),,,,,-1.0-2.5
#: RE,,,,,E+ P --> E+ JET(S) X
#: SQRT(S) [GeV],,,,,319.0
#: Y,,,,,0.2-0.7
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,PT(JET) [GEV],PT(JET) [GEV] LOW,PT(JET) [GEV] HIGH,D2(SIG)/DQ**2/DPT(JET) [PB/GEV**3],stat +,stat -,"sys,uncorrelated +","sys,uncorrelated -","sys,model uncert. +","sys,model uncert. -","sys,electron energy scale +","sys,electron energy scale -","sys,electron polar angle +","sys,electron polar angle -","sys,hadronic energy scale +","sys,hadronic energy scale -"
6.0,5.0,7.0,7.5,5.0,10.0,109.0,0.7%,-0.7%,4.8%,-4.8%,2.1%,-2.1%,0.4%,-0.4%,0.5%,-0.5%,4.3%,-4.3%
6.0,5.0,7.0,12.5,10.0,15.0,12.9,1.8%,-1.8%,4.0%,-4.0%,2.7%,-2.7%,0.1%,-0.1%,0.1%,-0.1%,2.9%,-2.9%
6.0,5.0,7.0,17.5,15.0,20.0,2.77,3.8%,-3.8%,6.6%,-6.6%,3.4%,-3.4%,0.2%,-0.2%,0.1%,-0.1%,5.6%,-5.6%
6.0,5.0,7.0,50.0,20.0,80.0,0.104,6.4%,-6.4%,9.4%,-9.4%,6.6%,-6.6%,1.0%,-1.0%,1.0%,-1.0%,6.7%,-6.7%
8.5,7.0,10.0,7.5,5.0,10.0,72.1,0.7%,-0.7%,5.3%,-5.3%,2.9%,-2.9%,0.3%,-0.3%,0.4%,-0.4%,4.4%,-4.4%
8.5,7.0,10.0,12.5,10.0,15.0,9.02,1.7%,-1.7%,4.4%,-4.4%,2.9%,-2.9%,0.1%,-0.1%,0.5%,-0.5%,3.3%,-3.3%
8.5,7.0,10.0,17.5,15.0,20.0,1.93,3.4%,-3.4%,10.9%,-10.9%,9.4%,-9.4%,0.3%,-0.3%,0.8%,-0.8%,5.4%,-5.4%
8.5,7.0,10.0,50.0,20.0,80.0,0.0729,5.8%,-5.8%,16.8%,-16.8%,15.5%,-15.5%,0.1%,-0.1%,0.6%,-0.6%,6.8%,-6.8%
12.5,10.0,15.0,7.5,5.0,10.0,42.8,0.6%,-0.6%,5.3%,-5.3%,2.7%,-2.7%,0.2%,-0.2%,0.6%,-0.6%,4.4%,-4.4%
12.5,10.0,15.0,12.5,10.0,15.0,5.45,1.6%,-1.6%,4.7%,-4.7%,2.8%,-2.8%,0.2%,-0.2%,0.7%,-0.7%,3.7%,-3.7%
12.5,10.0,15.0,17.5,15.0,20.0,1.12,3.3%,-3.3%,8.3%,-8.3%,6.0%,-6.0%,0.2%,-0.2%,0.8%,-0.8%,5.6%,-5.6%
12.5,10.0,15.0,50.0,20.0,80.0,0.0484,5.5%,-5.5%,14.0%,-14.0%,12.0%,-12.0%,0.7%,-0.7%,1.0%,-1.0%,7.0%,-7.0%
17.5,15.0,20.0,7.5,5.0,10.0,26.7,0.8%,-0.8%,5.0%,-5.0%,2.7%,-2.7%,0.1%,-0.1%,0.6%,-0.6%,4.2%,-4.2%
17.5,15.0,20.0,12.5,10.0,15.0,3.68,1.9%,-1.9%,5.1%,-5.1%,2.7%,-2.7%,0.1%,-0.1%,0.7%,-0.7%,4.2%,-4.2%
17.5,15.0,20.0,17.5,15.0,20.0,0.783,3.9%,-3.9%,8.3%,-8.3%,6.1%,-6.1%,0.4%,-0.4%,0.8%,-0.8%,5.7%,-5.7%
17.5,15.0,20.0,50.0,20.0,80.0,0.0326,6.5%,-6.5%,11.3%,-11.3%,8.9%,-8.9%,0.5%,-0.5%,0.8%,-0.8%,6.8%,-6.8%
25.0,20.0,30.0,7.5,5.0,10.0,16.4,0.7%,-0.7%,4.7%,-4.7%,2.5%,-2.5%,0.3%,-0.3%,0.5%,-0.5%,4.1%,-4.1%
25.0,20.0,30.0,12.5,10.0,15.0,2.21,1.8%,-1.8%,5.1%,-5.1%,2.5%,-2.5%,0.1%,-0.1%,0.4%,-0.4%,4.4%,-4.4%
25.0,20.0,30.0,17.5,15.0,20.0,0.508,3.5%,-3.5%,6.7%,-6.7%,2.8%,-2.8%,0.3%,-0.3%,0.6%,-0.6%,6.1%,-6.1%
25.0,20.0,30.0,50.0,20.0,80.0,0.0198,5.6%,-5.6%,9.7%,-9.7%,7.1%,-7.1%,0.4%,-0.4%,0.6%,-0.6%,6.7%,-6.7%
35.0,30.0,40.0,7.5,5.0,10.0,9.72,1.0%,-1.0%,5.0%,-5.0%,3.2%,-3.2%,0.1%,-0.1%,0.6%,-0.6%,3.8%,-3.8%
35.0,30.0,40.0,12.5,10.0,15.0,1.65,2.2%,-2.2%,5.8%,-5.8%,3.3%,-3.3%,0.2%,-0.2%,0.5%,-0.5%,4.6%,-4.6%
35.0,30.0,40.0,17.5,15.0,20.0,0.383,4.5%,-4.5%,7.1%,-7.1%,3.7%,-3.7%,0.2%,-0.2%,0.5%,-0.5%,6.1%,-6.1%
35.0,30.0,40.0,50.0,20.0,80.0,0.012,7.5%,-7.5%,9.1%,-9.1%,5.4%,-5.4%,0.7%,-0.7%,0.6%,-0.6%,7.3%,-7.3%
70.0,40.0,100.0,7.5,5.0,10.0,3.37,0.8%,-0.8%,4.4%,-4.4%,2.8%,-2.8%,0.1%,-0.1%,0.7%,-0.7%,3.4%,-3.4%
70.0,40.0,100.0,12.5,10.0,15.0,0.614,1.7%,-1.7%,6.5%,-6.5%,4.2%,-4.2%,0.2%,-0.2%,0.6%,-0.6%,5.0%,-5.0%
70.0,40.0,100.0,17.5,15.0,20.0,0.146,3.3%,-3.3%,7.1%,-7.1%,2.8%,-2.8%,0.4%,-0.4%,0.6%,-0.6%,6.4%,-6.4%
70.0,40.0,100.0,50.0,20.0,80.0,0.00677,5.3%,-5.3%,7.5%,-7.5%,2.5%,-2.5%,0.6%,-0.6%,0.6%,-0.6%,7.1%,-7.1%

#: ETARAP(JET,LAB),,,,,-1.0-2.5
#: RE,,,,,E+ P --> E+ JET(S) X
#: SQRT(S) [GeV],,,,,319.0
#: Y,,,,,0.2-0.7
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,PT(JET) [GEV],PT(JET) [GEV] LOW,PT(JET) [GEV] HIGH,hadronisation correction factor,error +,error -
6.0,5.0,7.0,7.5,5.0,10.0,0.87,6.7%,-6.7%
6.0,5.0,7.0,12.5,10.0,15.0,0.91,3.2%,-3.2%
6.0,5.0,7.0,17.5,15.0,20.0,0.95,3.4%,-3.4%
6.0,5.0,7.0,50.0,20.0,80.0,0.95,3.4%,-3.4%
8.5,7.0,10.0,7.5,5.0,10.0,0.88,6.1%,-6.1%
8.5,7.0,10.0,12.5,10.0,15.0,0.92,2.9%,-2.9%
8.5,7.0,10.0,17.5,15.0,20.0,0.95,3.1%,-3.1%
8.5,7.0,10.0,50.0,20.0,80.0,0.95,3.1%,-3.1%
12.5,10.0,15.0,7.5,5.0,10.0,0.89,5.2%,-5.2%
12.5,10.0,15.0,12.5,10.0,15.0,0.92,2.9%,-2.9%
12.5,10.0,15.0,17.5,15.0,20.0,0.95,2.8%,-2.8%
12.5,10.0,15.0,50.0,20.0,80.0,0.95,2.8%,-2.8%
17.5,15.0,20.0,7.5,5.0,10.0,0.9,4.3%,-4.3%
17.5,15.0,20.0,12.5,10.0,15.0,0.93,2.7%,-2.7%
17.5,15.0,20.0,17.5,15.0,20.0,0.94,4.1%,-4.1%
17.5,15.0,20.0,50.0,20.0,80.0,0.95,4.1%,-4.1%
25.0,20.0,30.0,7.5,5.0,10.0,0.9,3.7%,-3.7%
25.0,20.0,30.0,12.5,10.0,15.0,0.94,3.0%,-3.0%
25.0,20.0,30.0,17.5,15.0,20.0,0.95,3.0%,-3.0%
25.0,20.0,30.0,50.0,20.0,80.0,0.96,2.9%,-2.9%
35.0,30.0,40.0,7.5,5.0,10.0,0.91,2.6%,-2.6%
35.0,30.0,40.0,12.5,10.0,15.0,0.95,2.6%,-2.6%
35.0,30.0,40.0,17.5,15.0,20.0,0.96,5.2%,-5.2%
35.0,30.0,40.0,50.0,20.0,80.0,0.94,2.8%,-2.8%
70.0,40.0,100.0,7.5,5.0,10.0,0.91,1.5%,-1.5%
70.0,40.0,100.0,12.5,10.0,15.0,0.96,1.7%,-1.7%
70.0,40.0,100.0,17.5,15.0,20.0,0.94,2.7%,-2.7%
70.0,40.0,100.0,50.0,20.0,80.0,0.96,2.6%,-2.6%

