#: table_doi: 10.17182/hepdata.31170.v1/t8
#: name: Table 8
#: description: 2-Jet Cross Section ${\rm\frac{d^2\sigma_{2-jet}}{dQ^2d\langle P_T \rangle}}$.

#: data_file: Table8.yaml
#: keyword reactions: E+ P --> E+ JET JET(S) X
#: keyword observables: D2SIG/DQ**2/DPT
#: keyword phrases: Inclusive | Double Differential Cross Section | Transverse Momentum Dependence | Dijet Production | Jet Production | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: ETARAP(JET,LAB),,,,,-1.0-2.5
#: M(12) [GEV],,,,,> 18
#: PT(JET1) [GEV],,,,,> 5
#: PT(JET2) [GEV],,,,,> 5
#: RE,,,,,E+ P --> E+ JET JET(S) X
#: SQRT(S) [GeV],,,,,319.0
#: Y,,,,,0.2-0.7
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,MEAN(PT) = 0.5*(PT(JET1)+PT(JET2)) [GEV],MEAN(PT) = 0.5*(PT(JET1)+PT(JET2)) [GEV] LOW,MEAN(PT) = 0.5*(PT(JET1)+PT(JET2)) [GEV] HIGH,D2(SIG)/DQ**2/DMEAN(PT) [PB/GEV**3],stat +,stat -,"sys,uncorrelated +","sys,uncorrelated -","sys,model uncert. +","sys,model uncert. -","sys,electron energy scale +","sys,electron energy scale -","sys,electron polar angle +","sys,electron polar angle -","sys,hadronic energy scale +","sys,hadronic energy scale -","sys,hadroni energy scale +","sys,hadroni energy scale -"
6.0,5.0,7.0,7.5,5.0,10.0,10.1,2.0%,-2.0%,4.4%,-4.4%,1.9%,-1.9%,0.6%,-0.6%,0.5%,-0.5%,3.9%,-3.9%,0,0
6.0,5.0,7.0,12.5,10.0,15.0,5.06,2.6%,-2.6%,5.0%,-5.0%,2.2%,-2.2%,0.1%,-0.1%,0.2%,-0.2%,4.4%,-4.4%,0,0
6.0,5.0,7.0,17.5,15.0,20.0,1.08,5.5%,-5.5%,7.0%,-7.0%,4.6%,-4.6%,0.4%,-0.4%,0.2%,-0.2%,5.4%,-5.4%,0,0
6.0,5.0,7.0,50.0,20.0,80.0,0.0435,8.3%,-8.3%,10.1%,-10.1%,6.3%,-6.3%,1.0%,-1.0%,0.9%,-0.9%,7.9%,-7.9%,0,0
8.5,7.0,10.0,7.5,5.0,10.0,6.55,1.8%,-1.8%,4.4%,-4.4%,1.7%,-1.7%,0.3%,-0.3%,0.3%,-0.3%,4.1%,-4.1%,0,0
8.5,7.0,10.0,12.5,10.0,15.0,3.56,2.4%,-2.4%,5.5%,-5.5%,3.1%,-3.1%,0.1%,-0.1%,0.6%,-0.6%,4.5%,-4.5%,0,0
8.5,7.0,10.0,17.5,15.0,20.0,0.767,5.0%,-5.0%,12.8%,-12.8%,11.4%,-11.4%,0.2%,-0.2%,0.8%,-0.8%,5.6%,-5.6%,0,0
8.5,7.0,10.0,50.0,20.0,80.0,0.0289,7.8%,-7.8%,18.6%,-18.6%,17.1%,-17.1%,0.2%,-0.2%,0.8%,-0.8%,7.3%,-7.3%,0,0
12.5,10.0,15.0,7.5,5.0,10.0,3.78,1.8%,-1.8%,4.9%,-4.9%,2.1%,-2.1%,0.2%,-0.2%,0.7%,-0.7%,4.4%,-4.4%,0,0
12.5,10.0,15.0,12.5,10.0,15.0,2.28,2.2%,-2.2%,5.3%,-5.3%,2.3%,-2.3%,0.2%,-0.2%,0.7%,-0.7%,4.6%,-4.6%,0,0
12.5,10.0,15.0,17.5,15.0,20.0,0.441,4.9%,-4.9%,10.1%,-10.1%,7.9%,-7.9%,0.3%,-0.3%,0.7%,-0.7%,0,0,6.1%,-6.1%
12.5,10.0,15.0,50.0,20.0,80.0,0.0201,7.3%,-7.3%,15.1%,-15.1%,13.1%,-13.1%,0.7%,-0.7%,1.0%,-1.0%,7.5%,-7.5%,0,0
17.5,15.0,20.0,7.5,5.0,10.0,2.45,2.3%,-2.3%,4.8%,-4.8%,1.8%,-1.8%,0.2%,-0.2%,0.7%,-0.7%,4.4%,-4.4%,0,0
17.5,15.0,20.0,12.5,10.0,15.0,1.52,2.7%,-2.7%,5.2%,-5.2%,2.0%,-2.0%,0.1%,-0.1%,0.8%,-0.8%,4.8%,-4.8%,0,0
17.5,15.0,20.0,17.5,15.0,20.0,0.327,5.7%,-5.7%,8.6%,-8.6%,6.3%,-6.3%,0.4%,-0.4%,0.9%,-0.9%,5.8%,-5.8%,0,0
17.5,15.0,20.0,50.0,20.0,80.0,0.0135,8.7%,-8.7%,13.2%,-13.2%,10.8%,-10.8%,0.6%,-0.6%,0.8%,-0.8%,7.5%,-7.5%,0,0
25.0,20.0,30.0,7.5,5.0,10.0,1.64,2.0%,-2.0%,4.5%,-4.5%,1.8%,-1.8%,0.4%,-0.4%,0.4%,-0.4%,4.1%,-4.1%,0,0
25.0,20.0,30.0,12.5,10.0,15.0,0.927,2.5%,-2.5%,5.3%,-5.3%,2.2%,-2.2%,0.1%,-0.1%,0.5%,-0.5%,4.9%,-4.9%,0,0
25.0,20.0,30.0,17.5,15.0,20.0,0.213,5.1%,-5.1%,6.4%,-6.4%,2.5%,-2.5%,0.3%,-0.3%,0.6%,-0.6%,5.8%,-5.8%,0,0
25.0,20.0,30.0,50.0,20.0,80.0,0.00763,7.8%,-7.8%,13.0%,-13.0%,10.3%,-10.3%,0.5%,-0.5%,0.6%,-0.6%,8.0%,-8.0%,0,0
35.0,30.0,40.0,7.5,5.0,10.0,0.968,2.7%,-2.7%,4.6%,-4.6%,2.3%,-2.3%,0.1%,-0.1%,0.6%,-0.6%,4.0%,-4.0%,0,0
35.0,30.0,40.0,12.5,10.0,15.0,0.753,3.1%,-3.1%,5.7%,-5.7%,2.6%,-2.6%,0.2%,-0.2%,0.5%,-0.5%,5.0%,-5.0%,0,0
35.0,30.0,40.0,17.5,15.0,20.0,0.138,6.3%,-6.3%,6.7%,-6.7%,2.8%,-2.8%,0.4%,-0.4%,0.5%,-0.5%,6.0%,-6.0%,0,0
35.0,30.0,40.0,50.0,20.0,80.0,0.00521,9.9%,-9.9%,10.6%,-10.6%,7.0%,-7.0%,0.7%,-0.7%,0.7%,-0.7%,8.0%,-8.0%,0,0
70.0,40.0,100.0,7.5,5.0,10.0,0.379,2.1%,-2.1%,4.4%,-4.4%,1.7%,-1.7%,0.1%,-0.1%,0.6%,-0.6%,4.0%,-4.0%,0,0
70.0,40.0,100.0,12.5,10.0,15.0,0.266,2.4%,-2.4%,5.4%,-5.4%,1.8%,-1.8%,0.4%,-0.4%,0.6%,-0.6%,5.1%,-5.1%,0,0
70.0,40.0,100.0,17.5,15.0,20.0,0.0648,4.8%,-4.8%,7.1%,-7.1%,1.8%,-1.8%,0.6%,-0.6%,0.6%,-0.6%,6.8%,-6.8%,0,0
70.0,40.0,100.0,50.0,20.0,80.0,0.00265,7.0%,-7.0%,9.9%,-9.9%,5.9%,-5.9%,0.5%,-0.5%,0.5%,-0.5%,7.9%,-7.9%,0,0

#: ETARAP(JET,LAB),,,,,-1.0-2.5
#: M(12) [GEV],,,,,> 18
#: PT(JET1) [GEV],,,,,> 5
#: PT(JET2) [GEV],,,,,> 5
#: RE,,,,,E+ P --> E+ JET JET(S) X
#: SQRT(S) [GeV],,,,,319.0
#: Y,,,,,0.2-0.7
Q**2 [GEV**2],Q**2 [GEV**2] LOW,Q**2 [GEV**2] HIGH,MEAN(PT) = 0.5*(PT(JET1)+PT(JET2)) [GEV],MEAN(PT) = 0.5*(PT(JET1)+PT(JET2)) [GEV] LOW,MEAN(PT) = 0.5*(PT(JET1)+PT(JET2)) [GEV] HIGH,hadronisation correction factor,error +,error -
6.0,5.0,7.0,7.5,5.0,10.0,0.91,3.3%,-3.3%
6.0,5.0,7.0,12.5,10.0,15.0,0.91,2.8%,-2.8%
6.0,5.0,7.0,17.5,15.0,20.0,0.95,2.8%,-2.8%
6.0,5.0,7.0,50.0,20.0,80.0,0.96,2.7%,-2.7%
8.5,7.0,10.0,7.5,5.0,10.0,0.91,3.4%,-3.4%
8.5,7.0,10.0,12.5,10.0,15.0,0.93,3.0%,-3.0%
8.5,7.0,10.0,17.5,15.0,20.0,0.95,2.4%,-2.4%
8.5,7.0,10.0,50.0,20.0,80.0,0.94,3.0%,-3.0%
12.5,10.0,15.0,7.5,5.0,10.0,0.92,1.7%,-1.7%
12.5,10.0,15.0,12.5,10.0,15.0,0.94,2.8%,-2.8%
12.5,10.0,15.0,17.5,15.0,20.0,0.94,2.8%,-2.8%
12.5,10.0,15.0,50.0,20.0,80.0,0.96,3.0%,-3.0%
17.5,15.0,20.0,7.5,5.0,10.0,0.94,1.5%,-1.5%
17.5,15.0,20.0,12.5,10.0,15.0,0.94,2.2%,-2.2%
17.5,15.0,20.0,17.5,15.0,20.0,0.92,1.8%,-1.8%
17.5,15.0,20.0,50.0,20.0,80.0,0.97,3.0%,-3.0%
25.0,20.0,30.0,7.5,5.0,10.0,0.93,2.0%,-2.0%
25.0,20.0,30.0,12.5,10.0,15.0,0.95,2.2%,-2.2%
25.0,20.0,30.0,17.5,15.0,20.0,0.96,2.2%,-2.2%
25.0,20.0,30.0,50.0,20.0,80.0,0.96,2.8%,-2.8%
35.0,30.0,40.0,7.5,5.0,10.0,0.93,1.8%,-1.8%
35.0,30.0,40.0,12.5,10.0,15.0,0.95,1.9%,-1.9%
35.0,30.0,40.0,17.5,15.0,20.0,0.95,4.5%,-4.5%
35.0,30.0,40.0,50.0,20.0,80.0,0.97,4.4%,-4.4%
70.0,40.0,100.0,7.5,5.0,10.0,0.94,1.8%,-1.8%
70.0,40.0,100.0,12.5,10.0,15.0,0.96,1.8%,-1.8%
70.0,40.0,100.0,17.5,15.0,20.0,0.96,2.7%,-2.7%
70.0,40.0,100.0,50.0,20.0,80.0,0.95,1.8%,-1.8%

