#: table_doi: 10.17182/hepdata.73066.v2/t1
#: name: Table 1
#: description: Differential production cross-sections for prompt $D^{0} + \bar{D}^{0}$ mesons in bins of $(p_{\mathrm{T}}, y)$. The first uncertainty is statistical, and the second is the total systematic.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> D0 X | P P --> DBAR0 X
#: keyword observables: D2SIG/DPT/DYRAP
#: keyword phrases: 
#: keyword cmenergies: 13000.0
#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0
#: YRAP,,,2.0 TO 2.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,254.0,2.0,-2.0,31.0,-27.0
1.25,1.0,1.5,433.0,3.0,-3.0,50.0,-45.0
1.75,1.5,2.0,388.0,2.0,-2.0,40.0,-37.0
2.25,2.0,2.5,296.0,2.0,-2.0,24.0,-28.0
2.75,2.5,3.0,228.0,1.0,-1.0,17.0,-20.0
3.25,3.0,3.5,161.3,0.9,-0.9,11.4,-13.0
3.75,3.5,4.0,109.7,0.6,-0.6,7.3,-8.2
4.5,4.0,5.0,66.5,0.3,-0.3,4.7,-4.2
5.5,5.0,6.0,35.5,0.2,-0.2,2.6,-2.1
6.5,6.0,7.0,18.5,0.1,-0.1,1.3,-1.2
7.5,7.0,8.0,10.15,0.09,-0.09,0.72,-0.63
8.5,8.0,9.0,6.11,0.07,-0.07,0.46,-0.39
9.5,9.0,10.0,3.92,0.06,-0.06,0.26,-0.22
10.5,10.0,11.0,2.48,0.05,-0.05,0.18,-0.16
11.5,11.0,12.0,1.59,0.04,-0.04,0.14,-0.1
12.5,12.0,13.0,1.01,0.03,-0.03,0.12,-0.08
13.5,13.0,14.0,0.746,0.026,-0.026,0.089,-0.055
14.5,14.0,15.0,0.498,0.022,-0.022,0.058,-0.03

#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0
#: YRAP,,,2.5 TO 3.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,277.3,1.0,-1.0,21.4,-24.8
1.25,1.0,1.5,457.0,2.0,-2.0,32.0,-37.0
1.75,1.5,2.0,409.0,1.0,-1.0,30.0,-26.0
2.25,2.0,2.5,314.4,1.0,-1.0,21.1,-18.7
2.75,2.5,3.0,228.9,0.7,-0.7,14.7,-13.2
3.25,3.0,3.5,156.1,0.5,-0.5,9.6,-8.7
3.75,3.5,4.0,111.0,0.4,-0.4,6.6,-6.0
4.5,4.0,5.0,64.5,0.2,-0.2,3.9,-3.3
5.5,5.0,6.0,31.5,0.1,-0.1,1.8,-1.6
6.5,6.0,7.0,17.2,0.09,-0.09,0.96,-0.92
7.5,7.0,8.0,9.71,0.07,-0.07,0.6,-0.52
8.5,8.0,9.0,5.72,0.05,-0.05,0.38,-0.32
9.5,9.0,10.0,3.48,0.04,-0.04,0.21,-0.15
10.5,10.0,11.0,2.18,0.03,-0.03,0.14,-0.09
11.5,11.0,12.0,1.49,0.03,-0.03,0.1,-0.06
12.5,12.0,13.0,1.031,0.026,-0.026,0.078,-0.037
13.5,13.0,14.0,0.718,0.023,-0.023,0.06,-0.025
14.5,14.0,15.0,0.495,0.02,-0.02,0.048,-0.022

#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0
#: YRAP,,,3.0 TO 3.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,281.1,0.9,-0.9,19.4,-17.4
1.25,1.0,1.5,454.0,1.0,-1.0,28.0,-27.0
1.75,1.5,2.0,380.0,1.0,-1.0,23.0,-22.0
2.25,2.0,2.5,292.5,0.9,-0.9,17.4,-15.8
2.75,2.5,3.0,208.8,0.7,-0.7,12.6,-10.4
3.25,3.0,3.5,137.3,0.5,-0.5,8.1,-6.9
3.75,3.5,4.0,93.5,0.4,-0.4,5.5,-4.7
4.5,4.0,5.0,54.5,0.2,-0.2,3.2,-2.7
5.5,5.0,6.0,27.1,0.1,-0.1,1.5,-1.6
6.5,6.0,7.0,14.4,0.09,-0.09,0.82,-0.85
7.5,7.0,8.0,7.88,0.07,-0.07,0.42,-0.48
8.5,8.0,9.0,4.49,0.05,-0.05,0.27,-0.29
9.5,9.0,10.0,2.75,0.04,-0.04,0.16,-0.13
10.5,10.0,11.0,1.62,0.04,-0.04,0.12,-0.09
11.5,11.0,12.0,1.025,0.034,-0.034,0.083,-0.056
12.5,12.0,13.0,0.716,0.034,-0.034,0.06,-0.048
13.5,13.0,14.0,0.447,0.031,-0.031,0.075,-0.045
14.5,14.0,15.0,0.268,0.031,-0.031,0.053,-0.031

#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0
#: YRAP,,,3.5 TO 4.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,256.0,1.0,-1.0,16.0,-14.0
1.25,1.0,1.5,409.0,2.0,-2.0,25.0,-23.0
1.75,1.5,2.0,344.0,1.0,-1.0,21.0,-19.0
2.25,2.0,2.5,259.0,1.0,-1.0,16.0,-14.0
2.75,2.5,3.0,175.0,0.8,-0.8,11.3,-9.5
3.25,3.0,3.5,121.4,0.6,-0.6,8.5,-6.9
3.75,3.5,4.0,82.7,0.4,-0.4,5.5,-4.9
4.5,4.0,5.0,45.9,0.2,-0.2,2.5,-2.7
5.5,5.0,6.0,20.8,0.1,-0.1,1.3,-1.2
6.5,6.0,7.0,10.2,0.12,-0.12,0.87,-0.81
7.5,7.0,8.0,4.94,0.1,-0.1,0.71,-0.58
8.5,8.0,9.0,2.88,0.11,-0.11,0.57,-0.44
9.5,9.0,10.0,1.53,0.11,-0.11,0.49,-0.28
10.5,10.0,11.0,0.77,0.13,-0.13,0.33,-0.16
11.5,11.0,12.0,-,0,0,0,0
12.5,12.0,13.0,-,0,0,0,0
13.5,13.0,14.0,-,0,0,0,0
14.5,14.0,15.0,-,0,0,0,0

#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0
#: YRAP,,,4.0 TO 4.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,206.0,2.0,-2.0,16.0,-14.0
1.25,1.0,1.5,337.0,3.0,-3.0,25.0,-22.0
1.75,1.5,2.0,265.0,2.0,-2.0,18.0,-17.0
2.25,2.0,2.5,190.0,2.0,-2.0,11.0,-12.0
2.75,2.5,3.0,129.6,1.2,-1.2,8.3,-8.9
3.25,3.0,3.5,85.6,0.9,-0.9,6.3,-6.4
3.75,3.5,4.0,58.0,0.8,-0.8,5.9,-5.5
4.5,4.0,5.0,26.1,0.4,-0.4,3.6,-3.0
5.5,5.0,6.0,10.9,0.4,-0.4,2.5,-1.8
6.5,6.0,7.0,3.4,0.5,-0.5,2.4,-1.3
7.5,7.0,8.0,-,0,0,0,0
8.5,8.0,9.0,-,0,0,0,0
9.5,9.0,10.0,-,0,0,0,0
10.5,10.0,11.0,-,0,0,0,0
11.5,11.0,12.0,-,0,0,0,0
12.5,12.0,13.0,-,0,0,0,0
13.5,13.0,14.0,-,0,0,0,0
14.5,14.0,15.0,-,0,0,0,0

