#: table_doi: 10.17182/hepdata.74708.v2/t2
#: name: Table 2
#: description: Differential production cross-sections for prompt $D^{+} + D^{-}$ mesons in bins of $(p_{\mathrm{T}}, y)$. The first uncertainty is statistical, and the second is the total systematic.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> D+ X | P P --> D- X
#: keyword observables: D2SIG/DPT/DYRAP
#: keyword phrases: 
#: keyword cmenergies: 5000.0
#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,2.0 TO 2.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,-,0,0,0,0
1.5,1.0,2.0,91.0,3.0,-3.0,14.0,-12.0
2.5,2.0,3.0,57.4,0.8,-0.8,6.2,-5.7
3.5,3.0,4.0,28.0,0.4,-0.4,2.4,-2.5
4.5,4.0,5.0,13.7,0.2,-0.2,1.0,-1.2
5.5,5.0,6.0,6.3,0.11,-0.11,0.45,-0.49
6.5,6.0,7.0,3.29,0.07,-0.07,0.23,-0.25
7.5,7.0,8.0,1.83,0.05,-0.05,0.13,-0.15
8.5,8.0,9.0,1.025,0.033,-0.033,0.072,-0.081
9.5,9.0,10.0,0.555,0.023,-0.023,0.043,-0.046

#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,2.5 TO 3.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,74.0,7.0,-7.0,10.0,-11.0
1.5,1.0,2.0,94.3,1.0,-1.0,7.4,-8.4
2.5,2.0,3.0,55.8,0.4,-0.4,3.7,-4.7
3.5,3.0,4.0,25.6,0.2,-0.2,1.5,-2.1
4.5,4.0,5.0,11.39,0.1,-0.1,0.71,-0.84
5.5,5.0,6.0,5.41,0.06,-0.06,0.34,-0.39
6.5,6.0,7.0,2.64,0.04,-0.04,0.17,-0.19
7.5,7.0,8.0,1.366,0.028,-0.028,0.089,-0.1
8.5,8.0,9.0,0.775,0.021,-0.021,0.052,-0.059
9.5,9.0,10.0,0.423,0.015,-0.015,0.03,-0.033

#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,3.0 TO 3.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,58.2,3.5,-3.5,7.0,-6.0
1.5,1.0,2.0,89.6,0.8,-0.8,8.0,-6.5
2.5,2.0,3.0,47.7,0.3,-0.3,3.7,-3.1
3.5,3.0,4.0,21.0,0.1,-0.1,1.4,-1.4
4.5,4.0,5.0,9.15,0.09,-0.09,0.62,-0.61
5.5,5.0,6.0,4.13,0.05,-0.05,0.28,-0.27
6.5,6.0,7.0,2.1,0.04,-0.04,0.15,-0.14
7.5,7.0,8.0,1.037,0.025,-0.025,0.073,-0.072
8.5,8.0,9.0,0.554,0.019,-0.019,0.044,-0.039
9.5,9.0,10.0,0.295,0.013,-0.013,0.029,-0.023

#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,3.5 TO 4.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,58.6,4.1,-4.1,6.9,-6.1
1.5,1.0,2.0,70.1,0.8,-0.8,5.6,-4.7
2.5,2.0,3.0,37.6,0.3,-0.3,2.9,-2.4
3.5,3.0,4.0,16.0,0.1,-0.1,1.1,-1.1
4.5,4.0,5.0,6.52,0.08,-0.08,0.44,-0.43
5.5,5.0,6.0,2.9,0.05,-0.05,0.2,-0.2
6.5,6.0,7.0,1.249,0.034,-0.034,0.095,-0.086
7.5,7.0,8.0,0.693,0.027,-0.027,0.063,-0.052
8.5,8.0,9.0,0.393,0.024,-0.024,0.05,-0.039
9.5,9.0,10.0,0.162,0.016,-0.016,0.028,-0.021

#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,4.0 TO 4.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
0.5,0.0,1.0,-,0,0,0,0
1.5,1.0,2.0,54.2,1.3,-1.3,4.9,-4.5
2.5,2.0,3.0,25.0,0.4,-0.4,1.9,-1.9
3.5,3.0,4.0,10.26,0.19,-0.19,0.82,-0.77
4.5,4.0,5.0,3.86,0.11,-0.11,0.3,-0.26
5.5,5.0,6.0,1.52,0.08,-0.08,0.15,-0.13
6.5,6.0,7.0,0.709,0.068,-0.068,0.082,-0.073
7.5,7.0,8.0,-,0,0,0,0
8.5,8.0,9.0,-,0,0,0,0
9.5,9.0,10.0,-,0,0,0,0

