#: table_doi: 10.17182/hepdata.74708.v2/t3
#: name: Table 3
#: description: Differential production cross-sections for prompt $D_{s}^{+} + D_{s}^{-}$ mesons in bins of $(p_{\mathrm{T}}, y)$. The first uncertainty is statistical, and the second is the total systematic.
#: data_file: data3.yaml
#: data_license:   
#: keyword reactions: P P --> D/S+ X | P P --> D/S- X
#: keyword observables: D2SIG/DPT/DYRAP
#: keyword phrases: 
#: keyword cmenergies: 5000.0
#: RE,,,P P --> D/S+ <PHI <K- K+> PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,2.0 TO 2.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
1.5,1.0,2.0,29.8,4.6,-4.6,7.5,-5.3
2.5,2.0,3.0,27.3,1.5,-1.5,5.1,-4.0
3.5,3.0,4.0,12.5,0.6,-0.6,1.7,-1.4
4.5,4.0,5.0,5.96,0.3,-0.3,0.59,-0.63
5.5,5.0,6.0,2.73,0.18,-0.17,0.27,-0.27
6.5,6.0,7.0,1.47,0.11,-0.11,0.15,-0.14
7.5,7.0,8.0,0.97,0.09,-0.09,0.1,-0.1
8.5,8.0,9.0,0.379,0.052,-0.052,0.041,-0.039
9.5,9.0,10.0,0.284,0.042,-0.042,0.035,-0.034

#: RE,,,P P --> D/S+ <PHI <K- K+> PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,2.5 TO 3.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
1.5,1.0,2.0,41.6,2.5,-2.5,4.4,-4.6
2.5,2.0,3.0,27.4,0.8,-0.8,2.4,-2.7
3.5,3.0,4.0,12.4,0.4,-0.4,1.0,-1.1
4.5,4.0,5.0,5.71,0.2,-0.2,0.48,-0.51
5.5,5.0,6.0,2.18,0.11,-0.11,0.19,-0.19
6.5,6.0,7.0,1.31,0.08,-0.08,0.13,-0.11
7.5,7.0,8.0,0.642,0.052,-0.052,0.07,-0.053
8.5,8.0,9.0,0.311,0.035,-0.035,0.038,-0.027
9.5,9.0,10.0,0.212,0.028,-0.028,0.028,-0.02

#: RE,,,P P --> D/S+ <PHI <K- K+> PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,3.0 TO 3.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
1.5,1.0,2.0,36.0,2.3,-2.2,4.2,-3.6
2.5,2.0,3.0,22.4,0.7,-0.7,2.2,-1.9
3.5,3.0,4.0,9.42,0.3,-0.3,0.91,-0.75
4.5,4.0,5.0,4.52,0.18,-0.18,0.43,-0.37
5.5,5.0,6.0,2.3,0.11,-0.11,0.23,-0.19
6.5,6.0,7.0,0.843,0.062,-0.062,0.089,-0.07
7.5,7.0,8.0,0.461,0.044,-0.044,0.052,-0.039
8.5,8.0,9.0,0.256,0.034,-0.034,0.034,-0.025
9.5,9.0,10.0,0.147,0.025,-0.025,0.022,-0.015

#: RE,,,P P --> D/S+ <PHI <K- K+> PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,3.5 TO 4.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
1.5,1.0,2.0,25.3,2.3,-2.3,3.0,-2.5
2.5,2.0,3.0,14.6,0.6,-0.6,1.5,-1.2
3.5,3.0,4.0,7.57,0.32,-0.32,0.72,-0.61
4.5,4.0,5.0,2.81,0.16,-0.16,0.28,-0.23
5.5,5.0,6.0,1.36,0.1,-0.1,0.14,-0.11
6.5,6.0,7.0,0.586,0.065,-0.065,0.074,-0.057
7.5,7.0,8.0,0.323,0.046,-0.046,0.057,-0.039
8.5,8.0,9.0,-,0,0,0,0
9.5,9.0,10.0,-,0,0,0,0

#: RE,,,P P --> D/S+ <PHI <K- K+> PI+> X
#: SQRT(S) [GEV],,,5000.0
#: YRAP,,,4.0 TO 4.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP [MUB/(GEV/c)],stat +,stat -,sys +,sys -
1.5,1.0,2.0,-,0,0,0,0
2.5,2.0,3.0,9.3,1.0,-1.0,1.5,-1.2
3.5,3.0,4.0,4.49,0.42,-0.42,0.52,-0.42
4.5,4.0,5.0,1.94,0.24,-0.24,0.25,-0.18
5.5,5.0,6.0,0.78,0.15,-0.15,0.12,-0.08
6.5,6.0,7.0,-,0,0,0,0
7.5,7.0,8.0,-,0,0,0,0
8.5,8.0,9.0,-,0,0,0,0
9.5,9.0,10.0,-,0,0,0,0

