#: table_doi: 10.17182/hepdata.60321.v1/t2
#: name: Table 2
#: description: Differential production cross-sections with respect to transverse momentum, dsigma / dp_T, of D0 mesons or their charge conjugates in  proton-proton collisions at center-of-mass (CM) energy sqrt(s) = 7 TeV. Measured in bins of hadron transverse momentum (p_T) and rapidity (y) with respect to the beam axis, where p_T and y are measured in the CM frame. Contributions of charm hadrons from the decays of b-hadrons have been removed.

#: data_file: Table2.yaml
#: keyword reactions: P P --> D0 X | P P --> DBAR0 X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Prompt | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Charm production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> (D0 + DBAR0) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,2.0-2.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,113.58,5.45,-5.45,10.45,-10.45
1.5,1.0,2.0,147.06,5.78,-5.78,12.45,-12.45
2.5,2.0,3.0,85.95,3.18,-3.18,6.8,-6.8
3.5,3.0,4.0,41.79,1.78,-1.78,3.82,-3.82
4.5,4.0,5.0,18.61,0.98,-0.98,1.73,-1.73
5.5,5.0,6.0,9.35,0.66,-0.66,0.9,-0.9
6.5,6.0,7.0,4.92,0.51,-0.51,0.49,-0.49
7.5,7.0,8.0,2.34,0.42,-0.42,0.26,-0.26

#: RE,,,P P --> (D0 + DBAR0) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,2.5-3.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,96.51,3.49,-3.49,8.1,-8.1
1.5,1.0,2.0,146.54,4.08,-4.08,12.16,-12.16
2.5,2.0,3.0,82.07,2.1,-2.1,6.58,-6.58
3.5,3.0,4.0,34.86,1.1,-1.1,2.82,-2.82
4.5,4.0,5.0,16.11,0.67,-0.67,1.49,-1.49
5.5,5.0,6.0,8.85,0.48,-0.48,0.84,-0.84
6.5,6.0,7.0,4.31,0.38,-0.38,0.43,-0.43
7.5,7.0,8.0,2.41,0.36,-0.36,0.26,-0.26

#: RE,,,P P --> (D0 + DBAR0) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,3.0-3.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,90.99,3.67,-3.67,7.24,-7.24
1.5,1.0,2.0,129.43,3.89,-3.89,10.19,-10.19
2.5,2.0,3.0,68.48,1.9,-1.9,5.4,-5.4
3.5,3.0,4.0,31.3,1.05,-1.05,2.47,-2.47
4.5,4.0,5.0,14.36,0.66,-0.66,1.15,-1.15
5.5,5.0,6.0,6.23,0.41,-0.41,0.6,-0.6
6.5,6.0,7.0,2.99,0.33,-0.33,0.3,-0.3
7.5,7.0,8.0,1.25,0.27,-0.27,0.14,-0.14

#: RE,,,P P --> (D0 + DBAR0) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,3.5-4.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,80.41,4.19,-4.19,6.3,-6.3
1.5,1.0,2.0,112.64,4.52,-4.52,8.95,-8.95
2.5,2.0,3.0,58.25,2.02,-2.02,4.7,-4.7
3.5,3.0,4.0,22.65,1.0,-1.0,2.13,-2.13
4.5,4.0,5.0,9.89,0.62,-0.62,0.94,-0.94
5.5,5.0,6.0,4.88,0.43,-0.43,0.48,-0.48
6.5,6.0,7.0,2.33,0.34,-0.34,0.25,-0.25
7.5,7.0,8.0,1.14,0.35,-0.35,0.16,-0.16

#: RE,,,P P --> (D0 + DBAR0) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,4.0-4.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,57.37,5.37,-5.37,5.1,-5.1
1.5,1.0,2.0,81.57,5.2,-5.2,7.02,-7.02
2.5,2.0,3.0,39.87,2.56,-2.56,3.78,-3.78
3.5,3.0,4.0,15.5,1.29,-1.29,1.51,-1.51
4.5,4.0,5.0,5.69,0.87,-0.87,0.6,-0.6
5.5,5.0,6.0,3.22,0.98,-0.98,0.46,-0.46
6.5,6.0,7.0,-,0,0,0,0
7.5,7.0,8.0,-,0,0,0,0

