#: table_doi: 10.17182/hepdata.60321.v1/t5
#: name: Table 5
#: description: Differential production cross-sections with respect to transverse momentum, dsigma / dp_T, of D_s+ mesons or their charge conjugates in  proton-proton collisions at center-of-mass (CM) energy sqrt(s) = 7 TeV. Measured in bins of hadron transverse momentum (p_T) and rapidity (y) with respect to the beam axis, where p_T and y are measured in the CM frame. Contributions of charm hadrons from the decays of b-hadrons have been removed.

#: data_file: Table5.yaml
#: keyword reactions: P P --> D/S+ X | P P --> D/S- X
#: keyword observables: DSIG/DPT
#: keyword phrases: Inclusive | Prompt | Single Differential Cross Section | Transverse Momentum Dependence | Proton-Proton Scattering | Charm production | Strange production
#: keyword cmenergies: 7000.0
#: RE,,,P P --> (D/S+ + D/S-) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,2.0-2.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,-,0,0,0,0
1.5,1.0,2.0,22.5,7.79,-7.79,6.09,-6.09
2.5,2.0,3.0,6.03,1.88,-1.88,1.43,-1.43
3.5,3.0,4.0,3.38,0.92,-0.92,0.66,-0.66
4.5,4.0,5.0,1.79,0.5,-0.5,0.31,-0.31
5.5,5.0,6.0,0.91,0.34,-0.34,0.2,-0.2
6.5,6.0,7.0,0.68,0.23,-0.23,0.15,-0.15
7.5,7.0,8.0,0.6,0.21,-0.21,0.14,-0.14

#: RE,,,P P --> (D/S+ + D/S-) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,2.5-3.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,-,0,0,0,0
1.5,1.0,2.0,20.41,3.07,-3.07,3.53,-3.53
2.5,2.0,3.0,8.34,1.17,-1.17,1.17,-1.17
3.5,3.0,4.0,5.57,0.73,-0.73,0.81,-0.81
4.5,4.0,5.0,2.18,0.37,-0.37,0.3,-0.3
5.5,5.0,6.0,1.11,0.24,-0.24,0.17,-0.17
6.5,6.0,7.0,0.51,0.16,-0.16,0.08,-0.08
7.5,7.0,8.0,-,0,0,0,0

#: RE,,,P P --> (D/S+ + D/S-) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,3.0-3.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,11.23,3.64,-3.64,2.48,-2.48
1.5,1.0,2.0,12.04,2.1,-2.1,2.36,-2.36
2.5,2.0,3.0,10.37,1.18,-1.18,1.46,-1.46
3.5,3.0,4.0,4.78,0.69,-0.69,0.79,-0.79
4.5,4.0,5.0,1.49,0.29,-0.29,0.21,-0.21
5.5,5.0,6.0,0.88,0.21,-0.21,0.13,-0.13
6.5,6.0,7.0,0.62,0.18,-0.18,0.1,-0.1
7.5,7.0,8.0,0.23,0.1,-0.1,0.04,-0.04

#: RE,,,P P --> (D/S+ + D/S-) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,3.5-4.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,-,0,0,0,0
1.5,1.0,2.0,11.0,3.09,-3.09,2.61,-2.61
2.5,2.0,3.0,7.34,1.31,-1.31,1.22,-1.22
3.5,3.0,4.0,3.83,0.68,-0.68,0.65,-0.65
4.5,4.0,5.0,1.62,0.39,-0.39,0.26,-0.26
5.5,5.0,6.0,0.67,0.21,-0.21,0.13,-0.13
6.5,6.0,7.0,-,0,0,0,0
7.5,7.0,8.0,-,0,0,0,0

#: RE,,,P P --> (D/S+ + D/S-) X
#: SQRT(S) [GeV],,,7000.0
#: YRAP,,,4.0-4.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D(SIG)/PT [MUB/GEV],stat +,stat -,sys +,sys -
0.5,0.0,1.0,-,0,0,0,0
1.5,1.0,2.0,-,0,0,0,0
2.5,2.0,3.0,5.89,2.22,-2.22,1.42,-1.42
3.5,3.0,4.0,2.08,0.9,-0.9,0.49,-0.49
4.5,4.0,5.0,-,0,0,0,0
5.5,5.0,6.0,-,0,0,0,0
6.5,6.0,7.0,-,0,0,0,0
7.5,7.0,8.0,-,0,0,0,0

