#: table_doi: 10.17182/hepdata.74708.v2/t5
#: name: Table 5
#: description: The ratios of differential production cross-sections, $R_{13/5}$, for prompt $D^{0} + \bar{D}^{0}$ mesons in bins of $(p_{\mathrm{T}}, y)$. The first uncertainty is statistical, and the second is the total systematic.
#: data_file: data5.yaml
#: data_license:   
#: keyword reactions: P P --> D0 X | P P --> DBAR0 X
#: keyword observables: RATIO
#: keyword phrases: 
#: keyword cmenergies: 5000.0 | 13000.0
#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,2.0 TO 2.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,1.49,0.03,-0.03,0.23,-0.2
1.5,1.0,2.0,1.61,0.02,-0.02,0.2,-0.18
2.5,2.0,3.0,1.78,0.02,-0.02,0.15,-0.17
3.5,3.0,4.0,2.03,0.02,-0.02,0.14,-0.16
4.5,4.0,5.0,2.19,0.03,-0.03,0.17,-0.13
5.5,5.0,6.0,2.57,0.05,-0.04,0.21,-0.15
6.5,6.0,7.0,2.55,0.06,-0.05,0.19,-0.16
7.5,7.0,8.0,2.67,0.08,-0.08,0.22,-0.17

#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,2.5 TO 3.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,1.61,0.01,-0.01,0.13,-0.15
1.5,1.0,2.0,1.72,0.01,-0.01,0.13,-0.12
2.5,2.0,3.0,1.94,0.01,-0.01,0.14,-0.1
3.5,3.0,4.0,2.2,0.02,-0.02,0.14,-0.11
4.5,4.0,5.0,2.48,0.03,-0.02,0.16,-0.12
5.5,5.0,6.0,2.66,0.04,-0.04,0.17,-0.13
6.5,6.0,7.0,2.95,0.06,-0.06,0.19,-0.16
7.5,7.0,8.0,3.0,0.08,-0.07,0.2,-0.18

#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,3.0 TO 3.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,1.72,0.02,-0.02,0.13,-0.1
1.5,1.0,2.0,1.88,0.01,-0.01,0.12,-0.1
2.5,2.0,3.0,2.2,0.02,-0.02,0.13,-0.11
3.5,3.0,4.0,2.35,0.02,-0.02,0.14,-0.12
4.5,4.0,5.0,2.65,0.03,-0.03,0.16,-0.14
5.5,5.0,6.0,2.9,0.05,-0.04,0.16,-0.18
6.5,6.0,7.0,3.27,0.07,-0.07,0.18,-0.21
7.5,7.0,8.0,3.44,0.11,-0.1,0.21,-0.26

#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,3.5 TO 4.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,1.88,0.02,-0.02,0.12,-0.11
1.5,1.0,2.0,2.04,0.02,-0.02,0.12,-0.11
2.5,2.0,3.0,2.35,0.02,-0.02,0.15,-0.12
3.5,3.0,4.0,2.69,0.03,-0.03,0.19,-0.16
4.5,4.0,5.0,3.07,0.05,-0.05,0.17,-0.19
5.5,5.0,6.0,3.15,0.08,-0.08,0.22,-0.21
6.5,6.0,7.0,3.85,0.16,-0.15,0.44,-0.44
7.5,7.0,8.0,3.93,0.32,-0.28,0.91,-0.73

#: RE,,,P P --> D0 <K- PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,4.0 TO 4.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,2.12,0.06,-0.05,0.2,-0.19
1.5,1.0,2.0,2.31,0.04,-0.04,0.17,-0.14
2.5,2.0,3.0,2.7,0.05,-0.05,0.17,-0.17
3.5,3.0,4.0,3.33,0.09,-0.09,0.32,-0.31
4.5,4.0,5.0,3.04,0.16,-0.15,0.63,-0.55
5.5,5.0,6.0,5.6,1.0,-0.7,2.2,-1.6
6.5,6.0,7.0,-,0,0,0,0
7.5,7.0,8.0,-,0,0,0,0

