#: table_doi: 10.17182/hepdata.74708.v2/t6
#: name: Table 6
#: description: The ratios of differential production cross-sections, $R_{13/5}$, for prompt $D^{+} + D^{-}$ mesons in bins of $(p_{\mathrm{T}}, y)$. The first uncertainty is statistical, and the second is the total systematic.
#: data_file: data6.yaml
#: data_license:   
#: keyword reactions: P P --> D+ X | P P --> D- X
#: keyword observables: RATIO
#: keyword phrases: 
#: keyword cmenergies: 5000.0 | 13000.0
#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,2.0 TO 2.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,-,0,0,0,0
1.5,1.0,2.0,1.8,0.07,-0.07,0.44,-0.38
2.5,2.0,3.0,1.72,0.03,-0.03,0.3,-0.27
3.5,3.0,4.0,1.87,0.03,-0.03,0.28,-0.26
4.5,4.0,5.0,2.12,0.03,-0.03,0.27,-0.26
5.5,5.0,6.0,2.4,0.04,-0.04,0.25,-0.27
6.5,6.0,7.0,2.54,0.06,-0.06,0.25,-0.25
7.5,7.0,8.0,2.72,0.08,-0.07,0.28,-0.24

#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,2.5 TO 3.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,2.1,0.23,-0.19,0.69,-0.44
1.5,1.0,2.0,1.69,0.02,-0.02,0.31,-0.2
2.5,2.0,3.0,1.97,0.01,-0.01,0.25,-0.18
3.5,3.0,4.0,2.21,0.02,-0.02,0.22,-0.17
4.5,4.0,5.0,2.48,0.02,-0.02,0.22,-0.17
5.5,5.0,6.0,2.68,0.03,-0.03,0.22,-0.17
6.5,6.0,7.0,2.8,0.05,-0.05,0.22,-0.17
7.5,7.0,8.0,3.1,0.07,-0.07,0.25,-0.19

#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,3.0 TO 3.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,1.83,0.12,-0.11,0.32,-0.28
1.5,1.0,2.0,1.88,0.02,-0.02,0.18,-0.19
2.5,2.0,3.0,2.09,0.01,-0.01,0.15,-0.17
3.5,3.0,4.0,2.41,0.02,-0.02,0.18,-0.15
4.5,4.0,5.0,2.55,0.03,-0.03,0.19,-0.14
5.5,5.0,6.0,2.95,0.04,-0.04,0.21,-0.16
6.5,6.0,7.0,3.01,0.06,-0.06,0.22,-0.17
7.5,7.0,8.0,3.39,0.09,-0.08,0.27,-0.2

#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,3.5 TO 4.0
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,1.66,0.13,-0.12,0.28,-0.25
1.5,1.0,2.0,2.08,0.03,-0.03,0.17,-0.17
2.5,2.0,3.0,2.25,0.02,-0.02,0.15,-0.16
3.5,3.0,4.0,2.6,0.03,-0.03,0.18,-0.15
4.5,4.0,5.0,2.96,0.04,-0.04,0.21,-0.17
5.5,5.0,6.0,3.25,0.06,-0.06,0.24,-0.2
6.5,6.0,7.0,3.92,0.11,-0.11,0.25,-0.29
7.5,7.0,8.0,3.7,0.16,-0.14,0.29,-0.34

#: RE,,,P P --> D+ <K- PI+ PI+> X
#: SQRT(S) [GEV],,,13000.0,,,,
#: YRAP,,,4.0 TO 4.5
PT [GEV],PT [GEV] LOW,PT [GEV] HIGH,D2SIG/DPT/DYRAP RATIO,stat +,stat -,sys +,sys -
0.5,0.0,1.0,-,0,0,0,0
1.5,1.0,2.0,2.25,0.06,-0.06,0.24,-0.22
2.5,2.0,3.0,2.64,0.05,-0.04,0.22,-0.19
3.5,3.0,4.0,2.81,0.06,-0.05,0.21,-0.21
4.5,4.0,5.0,3.59,0.11,-0.1,0.23,-0.29
5.5,5.0,6.0,4.51,0.24,-0.22,0.47,-0.48
6.5,6.0,7.0,4.27,0.48,-0.39,0.61,-0.5
7.5,7.0,8.0,-,0,0,0,0

