# -3.0 < y < -2.5                   -3.5 < y < -3.0                -4.0 < y < -3.5                -4.5 < y < -4.0               -5.0 < y < -4.5 
# note that the data without the corresponding pp measure have been deleted from this table.   
27.75 ± 0.48 ± 0.47 ± 5.78   ± 29.56 ± 0.33 ± 0.29 ± 2.98   ± 28.47 ± 0.38 ± 0.28 ± 1.98   ± 25.03 ± 0.58 ± 0.28 ± 1.78   ± 20.85 ± 1.08 ± 0.43 ± 2.21
46.66 ± 0.51 ± 0.69 ± 6.13   ± 46.10 ± 0.35 ± 0.38 ± 3.40   ± 40.35 ± 0.38 ± 0.33 ± 2.61   ± 35.82 ± 0.56 ± 0.38 ± 2.54   ± 27.00 ± 1.01 ± 0.45 ± 2.81
28.55 ± 0.29 ± 0.41 ± 2.41   ± 25.90 ± 0.19 ± 0.22 ± 1.62   ± 21.47 ± 0.18 ± 0.17 ± 1.26   ± 17.13 ± 0.23 ± 0.19 ± 1.09   ± 11.82 ± 0.45 ± 0.23 ± 0.97
12.73 ± 0.15 ± 0.18 ± 0.93   ± 10.98 ± 0.10 ± 0.10 ± 0.64   ± 8.75 ± 0.09 ± 0.08 ± 0.50    ± 6.33 ± 0.10 ± 0.08 ± 0.45    ± 3.61 ± 0.17 ± 0.09 ± 0.55
5.60 ± 0.08 ± 0.09 ± 0.38    ± 4.59 ± 0.05 ± 0.05 ± 0.26    ± 3.36 ± 0.05 ± 0.04 ± 0.19    ± 2.21 ± 0.05 ± 0.03 ± 0.14    ± 1.47 ± 0.13 ± 0.06 ± 0.43
2.53 ± 0.05 ± 0.05 ± 0.16    ± 1.93 ± 0.03 ± 0.03 ± 0.11    ± 1.38 ± 0.03 ± 0.02 ± 0.08    ± 0.82 ± 0.03 ± 0.02 ± 0.10    ± 0.57 ± 0.14 ± 0.06 ± 0.30
1.32 ± 0.03 ± 0.03 ± 0.08    ± 0.92 ± 0.02 ± 0.02 ± 0.06    ± 0.62 ± 0.02 ± 0.01 ± 0.04    ± −    ±   −  ±  -   ±  -      ± −    ±   −  ±  -   ±  -  
0.65 ± 0.02 ± 0.02 ± 0.04    ± 0.48 ± 0.02 ± 0.01 ± 0.04    ± 0.31 ± 0.01 ± 0.01 ± 0.04    ± −    ±   −  ±  -   ±  -      ± −    ±   −  ±  -   ±  -  
0.33 ± 0.02 ± 0.01 ± 0.02    ± 0.24 ± 0.01 ± 0.01 ± 0.02    ± 0.14 ± 0.01 ± 0.01 ± 0.03    ± −    ±   −  ±  -   ±  -      ± −    ±   −  ±  -   ±  -  
0.22 ± 0.01 ± 0.01 ± 0.02    ± 0.13 ± 0.01 ± 0.01 ± 0.01    ± −    ±   −  ±  -   ±  -      ± −    ±   −  ±  -   ±  -      ± −    ±   −  ±  -   ±  -  
