173.0	1.0	-1.0	10.0	-10.0
252.0	1.0	-1.0	13.0	-15.0
139.7	0.8	-0.8	6.8	-8.1
60.8	0.4	-0.4	3.1	-3.3
26.0	0.2	-0.2	1.4	-1.4
11.84	0.15	-0.15	0.61	-0.67
5.83	0.11	-0.11	0.32	-0.34
3.23	0.08	-0.08	0.21	-0.18
1.71	0.06	-0.06	0.12	-0.11
0.978	0.041	-0.041	0.076	-0.066
163.1	1.3	-1.3	8.6	-9.2
222.0	1.0	-1.0	11.0	-12.0
113.7	0.7	-0.7	6.1	-5.9
49.0	0.4	-0.4	2.6	-2.5
20.5	0.2	-0.2	1.2	-1.0
9.34	0.14	-0.14	0.58	-0.47
4.41	0.09	-0.09	0.27	-0.22
2.29	0.07	-0.07	0.16	-0.13
1.27	0.05	-0.05	0.12	-0.1
0.556	0.035	-0.035	0.077	-0.06
136.5	1.5	-1.5	8.2	-7.4
184.0	1.0	-1.0	10.0	-10.0
92.2	0.8	-0.8	5.2	-5.1
37.9	0.4	-0.4	2.2	-2.1
14.96	0.23	-0.23	0.85	-0.77
6.62	0.16	-0.16	0.46	-0.39
2.65	0.1	-0.1	0.28	-0.22
1.26	0.09	-0.09	0.25	-0.18
0.46	0.06	-0.06	0.11	-0.08
97.3	2.4	-2.4	8.0	-7.1
130.1	2.1	-2.1	8.2	-7.9
59.2	1.1	-1.1	3.5	-3.4
21.6	0.6	-0.6	1.8	-1.6
8.6	0.4	-0.4	1.5	-1.1
1.95	0.28	-0.28	0.67	-0.41
