# 1.5 < y < 2.0                 2.0 < y < 2.5                   2.5 < y < 3.0                 3.0 < y < 3.5                   3.5 < y < 4.0        
24.67 ± 0.32 ± 0.50 ± 3.45  ± 23.48 ± 0.17 ± 0.25 ± 1.70   ± 22.01 ± 0.16 ± 0.20 ± 1.16   ± 20.19 ± 0.21 ± 0.23 ± 1.02   ± 18.41 ± 0.36 ± 0.33 ± 1.09
40.79 ± 0.34 ± 0.61 ± 3.83  ± 38.45 ± 0.19 ± 0.35 ± 2.19   ± 33.79 ± 0.18 ± 0.26 ± 1.50   ± 29.89 ± 0.22 ± 0.28 ± 1.31   ± 24.17 ± 0.34 ± 0.40 ± 1.63
25.50 ± 0.20 ± 0.39 ± 1.76  ± 23.73 ± 0.11 ± 0.20 ± 1.08   ± 20.34 ± 0.10 ± 0.16 ± 0.82   ± 16.84 ± 0.11 ± 0.17 ± 0.69   ± 13.03 ± 0.17 ± 0.23 ± 0.78
12.46 ± 0.11 ± 0.21 ± 0.63  ± 11.09 ± 0.06 ± 0.10 ± 0.47   ± 9.31 ± 0.05 ± 0.09 ± 0.38    ± 7.73 ± 0.06 ± 0.09 ± 0.36    ± 5.22 ± 0.09 ± 0.11 ± 0.46
5.79 ± 0.06 ± 0.11 ± 0.27   ± 5.23 ± 0.04 ± 0.06 ± 0.21    ± 4.36 ± 0.03 ± 0.05 ± 0.17    ± 3.32 ± 0.04 ± 0.05 ± 0.14    ± 2.17 ± 0.07 ± 0.07 ± 0.45
2.94 ± 0.04 ± 0.07 ± 0.14   ± 2.53 ± 0.03 ± 0.04 ± 0.11    ± 2.04 ± 0.02 ± 0.03 ± 0.09    ± 1.47 ± 0.02 ± 0.03 ± 0.10    ± 0.93 ± 0.07 ± 0.07 ± 0.37
1.42 ± 0.02 ± 0.04 ± 0.08   ± 1.26 ± 0.02 ± 0.02 ± 0.05    ± 1.04 ± 0.02 ± 0.02 ± 0.06    ± 0.72 ± 0.02 ± 0.02 ± 0.10    ± 0.31 ± 0.08 ± 0.06 ± 0.20
0.84 ± 0.02 ± 0.03 ± 0.04   ± 0.66 ± 0.01 ± 0.02 ± 0.04    ± 0.53 ± 0.01 ± 0.01 ± 0.03    ± 0.36 ± 0.02 ± 0.02 ± 0.09    ±  -   ±  -   ±  -   ±   -
0.47 ± 0.01 ± 0.02 ± 0.02   ± 0.38 ± 0.01 ± 0.01 ± 0.03    ± 0.32 ± 0.01 ± 0.01 ± 0.03    ± 0.17 ± 0.02 ± 0.02 ± 0.06    ±  -   ±  -   ±  -   ±   -
0.31 ± 0.01 ± 0.02 ± 0.02   ± 0.24 ± 0.01 ± 0.01 ± 0.02    ± 0.17 ± 0.01 ± 0.01 ± 0.02    ± 0.07 ± 0.01 ± 0.01 ± 0.03    ±  -   ±  -   ±  -   ±   -
