#: table_doi: 10.17182/hepdata.46572.v1/t5
#: name: Table 5
#: description: Inclusive jet cross section DSIG/DET in the Q**2 regions 500-1000 and 1000-2000 GeV**2 for jets of hadrons in the Breit frame.

#: data_file: Table5.yaml
#: keyword reactions: E+ P --> E+ JET X
#: keyword observables: DSIG/DET
#: keyword phrases: Inclusive | Single Differential Cross Section | Jet Production | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 300.0
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: ETARAP(P=4),,,-2 TO 1.8
#: Q**2 [GEV**2],,,500 TO 1000
#: RE,,,E+ P --> E+ JET X
#: SQRT(S) [GeV],,,300.0
#: SYS,,,In the tables of jet distributions, the second systematic, DSYS, error isdue to the jet-energy-scale uncertainty. In the tables of ALPHA_S, the second D SYS error is due to the uncertainty in the theoretical model used.
ET(P=4) [GEV],ET(P=4) [GEV] LOW,ET(P=4) [GEV] HIGH,D(SIG)/DET [PB/GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
9.0,8.0,10.0,7.83,0.36,-0.36,0.14,-0.55,0.21,-0.26
12.0,10.0,14.0,3.77,0.18,-0.18,0.1,-0.05,0.14,-0.12
16.0,14.0,18.0,1.87,0.13,-0.13,0.02,-0.14,0.06,-0.06
21.5,18.0,25.0,0.713,0.062,-0.062,0.009,-0.085,0.03,-0.029
62.5,25.0,100.0,0.0271,0.0037,-0.0037,0.0011,-0.0001,0.0012,-0.0013

#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: ETARAP(P=4),,,-2 TO 1.8
#: Q**2 [GEV**2],,,1000 TO 2000
#: RE,,,E+ P --> E+ JET X
#: SQRT(S) [GeV],,,300.0
#: SYS,,,In the tables of jet distributions, the second systematic, DSYS, error isdue to the jet-energy-scale uncertainty. In the tables of ALPHA_S, the second D SYS error is due to the uncertainty in the theoretical model used.
ET(P=4) [GEV],ET(P=4) [GEV] LOW,ET(P=4) [GEV] HIGH,D(SIG)/DET [PB/GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
9.0,8.0,10.0,2.8,0.22,-0.22,0.02,-0.06,0.05,-0.07
12.0,10.0,14.0,1.86,0.14,-0.14,0.05,-0.02,0.03,-0.05
16.0,14.0,18.0,1.006,0.099,-0.099,0.08,-0.025,0.029,-0.027
21.5,18.0,25.0,0.287,0.037,-0.037,0.022,-0.028,0.011,-0.008
62.5,25.0,100.0,0.0173,0.003,-0.003,0.0043,-0.0004,0.0006,-0.0006

