#: table_doi: 10.17182/hepdata.46572.v1/t6
#: name: Table 6
#: description: Inclusive jet cross section DSIG/DET in the Q**2 regions 2000-5000 and > 5000 GeV**2 for jets of hadrons in the Breit frame.

#: data_file: Table6.yaml
#: keyword reactions: E+ P --> E+ JET X
#: keyword observables: DSIG/DET
#: keyword phrases: Inclusive | Single Differential Cross Section | Jet Production | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 300.0
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: ETARAP(P=4),,,-2 TO 1.8
#: Q**2 [GEV**2],,,2000 TO 5000
#: RE,,,E+ P --> E+ JET X
#: SQRT(S) [GeV],,,300.0
#: SYS,,,In the tables of jet distributions, the second systematic, DSYS, error isdue to the jet-energy-scale uncertainty. In the tables of ALPHA_S, the second D SYS error is due to the uncertainty in the theoretical model used.
ET(P=4) [GEV],ET(P=4) [GEV] LOW,ET(P=4) [GEV] HIGH,D(SIG)/DET [PB/GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
9.0,8.0,10.0,1.3,0.15,-0.15,0.08,-0.09,0.01,-0.02
12.0,10.0,14.0,0.724,0.081,-0.081,0.124,-0.048,0.014,-0.015
16.0,14.0,18.0,0.318,0.051,-0.051,0.01,-0.029,0.009,-0.008
21.5,18.0,25.0,0.209,0.035,-0.035,0.006,-0.041,0.002,-0.002
62.5,25.0,100.0,0.0167,0.0032,-0.0032,0.0018,-0.0044,0.0007,-0.0007

#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,820.0
#: ETARAP(P=4),,,-2 TO 1.8
#: Q**2 [GEV**2],,,> 5000
#: RE,,,E+ P --> E+ JET X
#: SQRT(S) [GeV],,,300.0
#: SYS,,,In the tables of jet distributions, the second systematic, DSYS, error isdue to the jet-energy-scale uncertainty. In the tables of ALPHA_S, the second D SYS error is due to the uncertainty in the theoretical model used.
ET(P=4) [GEV],ET(P=4) [GEV] LOW,ET(P=4) [GEV] HIGH,D(SIG)/DET [PB/GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
9.0,8.0,10.0,0.258,0.073,-0.073,0.029,-0.028,0.003,-0.009
12.0,10.0,14.0,0.162,0.042,-0.042,0.007,-0.034,0.007,-0.003
16.0,14.0,18.0,0.11,0.032,-0.032,0.003,-0.006,0.0,-0.005
21.5,18.0,25.0,0.055,0.018,-0.018,0.015,0.0,0.001,-0.001
62.5,25.0,100.0,0.0036,0.0014,-0.0014,0.0007,0.0,0.0001,-0.0001

