#: table_doi: 10.17182/hepdata.71338.v1/t18
#: name: Table 18
#: description: Inclusive dijet cross-sections ${d\sigma/d\overline{E^{jet}_{T,B}}}$ for ${Q^{2}}$ between 5000 and 20000 GeV$^2$. Other details as in the caption to Table 1.

#: data_file: Table18.yaml
#: keyword reactions: E+ P --> E+ JETS X | E- P --> E- JETS X
#: keyword observables: DSIG/DXI
#: keyword phrases: Inclusive | Single Differential Cross Section | Jet Production | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: ET(JET1,Breit) [GEV],,,> 8
#: ET(JET2,Breit) [GEV],,,> 8
#: ETARAP(JET,LAB),,,-1.0-2.5
#: M(12) [GEV],,,> 20
#: Q**2 [GeV^2],,,5000.0-20000.0
#: RE,,,E P --> E JETS X
#: SQRT(S) [GeV],,,319.0
#: Y,,,0.2-0.6
"$\overline{E^{jet}_{T,B}}$ [GeV]","$\overline{E^{jet}_{T,B}}$ [GeV] LOW","$\overline{E^{jet}_{T,B}}$ [GeV] HIGH","${d\sigma/d\overline{E^{jet}_{T,B}}}$ [pb/GeV]",stat +,stat -,"sys,uncorrelated +","sys,uncorrelated -","sys,ES +","sys,ES -"
12.0,8.0,16.0,0.0995,0.0076,-0.0076,0.0092,-0.0092,0.0012,-0.0005
22.0,16.0,28.0,0.0354,0.0031,-0.0031,0.0023,-0.0021,0.0003,-0.0008
44.0,28.0,60.0,0.00368,0.00053,-0.00053,0.00015,-0.00023,0.00016,-0.00012

#: ET(JET1,Breit) [GEV],,,> 8
#: ET(JET2,Breit) [GEV],,,> 8
#: ETARAP(JET,LAB),,,-1.0-2.5
#: M(12) [GEV],,,> 20
#: Q**2 [GeV^2],,,5000.0-20000.0
#: RE,,,E P --> E JETS X
#: SQRT(S) [GeV],,,319.0
#: Y,,,0.2-0.6
"$\overline{E^{jet}_{T,B}}$ [GeV]","$\overline{E^{jet}_{T,B}}$ [GeV] LOW","$\overline{E^{jet}_{T,B}}$ [GeV] HIGH",$C_{\rm{QED}}$
12.0,8.0,16.0,0.93
22.0,16.0,28.0,0.89
44.0,28.0,60.0,0.95

#: ET(JET1,Breit) [GEV],,,> 8
#: ET(JET2,Breit) [GEV],,,> 8
#: ETARAP(JET,LAB),,,-1.0-2.5
#: M(12) [GEV],,,> 20
#: Q**2 [GeV^2],,,5000.0-20000.0
#: RE,,,E P --> E JETS X
#: SQRT(S) [GeV],,,319.0
#: Y,,,0.2-0.6
"$\overline{E^{jet}_{T,B}}$ [GeV]","$\overline{E^{jet}_{T,B}}$ [GeV] LOW","$\overline{E^{jet}_{T,B}}$ [GeV] HIGH",$C_{\rm{hadr}}\cdot C_{\rm{Z^{0}}}$
12.0,8.0,16.0,1.05
22.0,16.0,28.0,1.14
44.0,28.0,60.0,1.2

